,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kieta,96,PG,1571925661,78,-6.22,155.63,80.13,5.1
1,atuona,70,PF,1571925684,74,-9.8,-139.03,79.03,11.59
2,port elizabeth,1,US,1571925684,50,39.31,-74.98,62.01,3.38
3,mar del plata,5,AR,1571925684,23,-46.43,-67.52,66.65,18.03
4,karratha,0,AU,1571925685,68,-20.74,116.85,80.04,17.38
5,galiwinku,,,,,,,,
6,dalbandin,0,PK,1571925685,19,28.9,64.41,68.22,4.23
7,port alfred,100,ZA,1571925685,78,-33.59,26.89,66.99,8.01
8,mahebourg,20,MU,1571925685,74,-20.41,57.7,78.8,11.41
9,atar,40,MR,1571925685,33,20.52,-13.05,90.82,14.67
10,punta arenas,100,CL,1571925685,66,-53.16,-70.91,50,19.46
11,alofi,100,NU,1571925685,94,-19.06,-169.92,71.6,6.93
12,gimbi,1,ET,1571925686,68,8.81,37.79,54.66,6.93
13,wiarton,75,CA,1571925526,87,44.74,-81.13,46,5.82
14,victoria,75,BN,1571925553,88,5.28,115.24,82,8.46
15,kingston,20,JM,1571925686,69,17.97,-76.79,82.4,6.93
16,yellowknife,90,CA,1571925686,91,62.45,-114.38,35.6,13.87
17,sakit,0,IN,1571925686,41,27.45,78.82,76.32,5.75
18,carnarvon,100,ZA,1571925686,11,-30.97,22.13,77,24.56
19,khatanga,2,RU,1571925687,87,71.98,102.47,4.59,4.47
20,isla vista,1,US,1571925687,61,34.41,-119.86,80.6,3.31
21,tabou,100,CI,1571925687,76,4.42,-7.36,82.35,6.55
22,mount gambier,71,AU,1571925687,17,-37.83,140.78,77,13.87
23,inhambane,20,MZ,1571925687,70,-23.87,35.38,86,11.41
24,chokurdakh,0,RU,1571925687,93,70.62,147.9,0.68,8.28
25,bethel,90,US,1571925687,100,60.79,-161.76,32,11.41
26,busselton,61,AU,1571925687,49,-33.64,115.35,57,11.81
27,fevralsk,,,,,,,,
28,amderma,,,,,,,,
29,tsihombe,,,,,,,,
30,virginia beach,1,US,1571925488,87,36.85,-75.98,64,7.14
31,dungarpur,67,IN,1571925688,42,23.85,73.71,74.39,5.37
32,pisco,4,PE,1571925688,30,-13.71,-76.2,71.6,4.7
33,gariaband,99,IN,1571925688,97,20.63,82.06,69.3,2.71
34,dikson,90,RU,1571925688,93,73.51,80.55,16.72,4.54
35,butaritari,44,KI,1571925688,69,3.07,172.79,84.2,6.29
36,hobart,100,AU,1571925502,19,-42.88,147.33,71.6,16.11
37,porto novo,20,BR,1571925689,60,-23.68,-45.44,75.2,6.93
38,avarua,5,CK,1571925689,100,-21.21,-159.78,68,3.36
39,boa vista,75,BR,1571925689,62,2.82,-60.67,86,11.41
40,hithadhoo,100,MV,1571925689,83,-0.6,73.08,78.94,10.74
41,fram,0,PY,1571925689,60,-27.1,-56.02,77,4.9
42,nadym,96,RU,1571925689,86,65.53,72.51,21.42,20.8
43,attawapiskat,,,,,,,,
44,iguape,100,BR,1571925690,67,-24.7,-47.56,77.13,4.07
45,taolanaro,,,,,,,,
46,kodiak,1,US,1571925690,86,39.95,-94.76,41,8.05
